Paper_ID,Year,Title,Authors,Algorithm_Type,Quantum_Framework,Application_Domain,Repository_URL,DOI,arXiv_URL,arXiv_Categories
1,2017,Quantum Neuron: an elementary building block for machine learning on quantum computers,"Cao, Yudong; Guerreschi, Gian Giacomo; Aspuru-Guzik, Alán",Quantum Neural Networks (QNN),Custom Implementation,General Quantum Machine Learning,https://github.com/inJeans/qnn,10.48550/arXiv.1711.11240,http://arxiv.org/abs/1711.11240,Quantum Physics; Computer Science - Neural and Evolutionary Computing
2,2019,A quantum-inspired classical algorithm for recommendation systems,"Tang, Ewin",Quantum-inspired Classical Algorithm,(Classical algorithm inspired by quantum ideas),Recommendation Systems,https://github.com/nkmjm/qiML,10.1145/3313276.3316310,http://arxiv.org/abs/1807.04271,Computer Science - Machine Learning; Quantum Physics; Computer Science - Data Structures and Algorithms; Computer Science - Information Retrieval
3,2018,PennyLane: Automatic differentiation of hybrid quantum-classical computation,"Bergholm, Ville; Izaac, Josh; Schuld, Maria; Gogolin, Christian; Ahmed, Shahnawaz; Ajith, Vishnu; Alam, M. Sohaib; Alonso-Linaje, Guillermo; AkashNarayanan, B.; Asadi, Ali; Arrazola, Juan Miguel; Azad, Utkarsh; Banning, Sam; Blank, Carsten; Bromley, Thomas R.; Cordier, Benjamin A.; Ceroni, Jack; Delgado, Alain; Matteo, Olivia Di; Dusko, Amintor; Garg, Tanya; Guala, Diego; Hayes, Anthony; Hill, Ryan; Ijaz, Aroosa; Isacsson, Theodor; Ittah, David; Jahangiri, Soran; Jain, Prateek; Jiang, Edward; Khandelwal, Ankit; Kottmann, Korbinian; Lang, Robert A.; Lee, Christina; Loke, Thomas; Lowe, Angus; McKiernan, Keri; Meyer, Johannes Jakob; Montañez-Barrera, J. A.; Moyard, Romain; Niu, Zeyue; O'Riordan, Lee James; Oud, Steven; Panigrahi, Ashish; Park, Chae-Yeun; Polatajko, Daniel; Quesada, Nicolás; Roberts, Chase; Sá, Nahum; Schoch, Isidor; Shi, Borun; Shu, Shuli; Sim, Sukin; Singh, Arshpreet; Strandberg, Ingrid; Soni, Jay; Száva, Antal; Thabet, Slimane; Vargas-Hernández, Rodrigo A.; Vincent, Trevor; Vitucci, Nicola; Weber, Maurice; Wierichs, David; Wiersema, Roeland; Willmann, Moritz; Wong, Vincent; Zhang, Shaoming; Killoran, Nathan",Hybrid Quantum-Classical Framework,PennyLane,Variational Quantum Optimization,https://github.com/PennyLaneAI/pennylane,10.48550/arXiv.1811.04968,http://arxiv.org/abs/1811.04968,Computer Science - Machine Learning; Quantum Physics; Physics - Computational Physics; Computer Science - Emerging Technologies
4,2019,q-means: A quantum algorithm for unsupervised machine learning,"Kerenidis, Iordanis; Landman, Jonas; Luongo, Alessandro; Prakash, Anupam",Unsupervised Learning (Clustering/k-means variant),Custom Implementation (Qiskit-based),"Clustering, unsupervised learning",https://github.com/JonasLandman,10.48550/arXiv.1812.03584,http://arxiv.org/abs/1812.03584,Computer Science - Machine Learning; Quantum Physics
5,2020,Variational Quantum Circuits for Deep Reinforcement Learning,"Chen, Samuel Yen-Chi; Yang, Chao-Han Huck; Qi, Jun; Chen, Pin-Yu; Ma, Xiaoli; Goan, Hsi-Sheng",Quantum Reinforcement Learning (VQC-based),Custom Variational Quantum Circuit implementation,Reinforcement Learning,https://github.com/ycchen1989/Var-QuantumCircuits-DeepRL,10.48550/arXiv.1907.00397,http://arxiv.org/abs/1907.00397,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics; Statistics - Machine Learning
6,2020,reinforcement learning with quantum variational circuits,"Lockwood, Owen; Si, Mei",Quantum Reinforcement Learning (VQC-based),Custom/Hybrid implementation,Reinforcement learning,https://github.com/lockwo/rl_qvc_opt,,,
7,2019,Quantum Wasserstein GANs,"Chakrabarti, Shouvanik; Huang, Yiming; Li, Tongyang; Feizi, Soheil; Wu, Xiaodi",Quantum Generative Models (GAN),Custom Implementation,Generative Modeling,https://github.com/yiminghwang/qWGAN,10.48550/arXiv.1911.00111,http://arxiv.org/abs/1911.00111,Computer Science - Machine Learning; Quantum Physics
8,2020,Variational Quantum Circuits for Quantum State Tomography,"Liu, Yong; Wang, Dongyang; Xue, Shichuan; Huang, Anqi; Fu, Xiang; Qiang, Xiaogang; Xu, Ping; Huang, He-Liang; Deng, Mingtang; Guo, Chu; Yang, Xuejun; Wu, Junjie",Quantum State Tomography (using VQC),Custom Implementation,Quantum State Tomography,https://github.com/iisharankov/QuantumStateTomography,10.1103/PhysRevA.101.052316,http://arxiv.org/abs/1912.07286,Computer Science - Machine Learning; Quantum Physics; Physics - Computational Physics
9,2020,TensorFlow Quantum: A Software Framework for Quantum Machine Learning,"Broughton, Michael; Verdon, Guillaume; McCourt, Trevor; Martinez, Antonio J.; Yoo, Jae Hyeon; Isakov, Sergei V.; Massey, Philip; Halavati, Ramin; Niu, Murphy Yuezhen; Zlokapa, Alexander; Peters, Evan; Lockwood, Owen; Skolik, Andrea; Jerbi, Sofiene; Dunjko, Vedran; Leib, Martin; Streif, Michael; Dollen, David Von; Chen, Hongxiang; Cao, Shuxiang; Wiersema, Roeland; Huang, Hsin-Yuan; McClean, Jarrod R.; Babbush, Ryan; Boixo, Sergio; Bacon, Dave; Ho, Alan K.; Neven, Hartmut; Mohseni, Masoud",Hybrid QML Framework,TensorFlow Quantum,General Quantum Machine Learning,https://github.com/tensorflow/quantum,10.48550/arXiv.2003.02989,http://arxiv.org/abs/2003.02989,Computer Science - Machine Learning; Quantum Physics; Computer Science - Programming Languages; Condensed Matter - Disordered Systems and Neural Networks
10,2020,Recurrent Quantum Neural Networks,"Bausch, Johannes",Recurrent Quantum Neural Networks (QRNN),Custom implemen tation,Sequence learning; digit classification,https://bitbucket.org/rumschuettel/rvqe,10.48550/arXiv.2006.14619,http://arxiv.org/abs/2006.14619,Computer Science - Machine Learning; Quantum Physics; Statistics - Machine Learning
