ID,First Author (Year),Documentation quality,Execution Procedure,Dependency Specification,Code Usability,Benchmark Reporting,Overall Reproducibility
1,Cao et al. (2017),High,Moderate,Moderate,High,No,High
2,Tang (2019),Low,Low,Low,Low,No,Low
3,Bergholm et al. (2018),High,High,High,High,Yes,High
4,Kerenidis et al. (2019),Moderate,Moderate,Moderate,Moderate,No,Moderate
5,Chen et al. (2020),High,High,High,High,Yes,High
6,Zlokapa et al. (2021),Moderate,Moderate,Moderate,Moderate,Yes,Moderate
7,Jerbi et al. (2021),High,Moderate,Moderate,High,Yes,High
8,Chakrabarti et al. (2019),Low,Low,Low,Low,No,Low
9,Liu et al. (2020),High,High,High,High,No,High
10,Broughton et al. (2020),High,High,High,High,No,High
11,Hubregtsen et al. (2021),High,Moderate,High,High,Yes,High
12,Wang et al. (2021),High,Moderate,Moderate,High,No,High
13,Bausch (2020),Low,Low,Low,Low,No,Low
14,De Oliveira et al. (2021),Moderate,Moderate,Moderate,Moderate,No,Moderate
15,Araujo et al. (2021),High,High,High,High,No,High
16,Lockwood & Si (2020),Moderate,Moderate,Moderate,Moderate,Yes,Moderate
17,Schuld et al. (2021),High,High,High,High,Yes,High
18,Liu et al. (2021),High,Moderate,Moderate,Moderate,Yes,Moderate
19,Abbas et al. (2021),High,High,High,High,Yes,High
20,Li et al. (2021),High,High,High,High,Yes,High
21,Schuld (2021),Moderate,Moderate,Moderate,Moderate,Yes,Moderate
22,Zhao et al. (2021) (LOCCNet),Moderate,Moderate,Moderate,Moderate,No,Moderate
23,Haug & Kim (2021),High,High,High,High,No,High
24,Chehimi & Saad (2022),High,High,High,High,Yes,High
25,Roget et al. (2022),High,Moderate,Moderate,High,Yes,High
26,Kübler et al. (2021),High,Moderate,Moderate,High,No,High
27,Qian et al. (2022),Moderate,Moderate,Moderate,Moderate,Yes,Moderate
28,Mattern et al. (2021),High,High,High,High,Yes,High
29,Thumwanit et al. (2021),Moderate,Moderate,Moderate,Moderate,No,Moderate
30,"Zlokapa, Neven, et al. (2021)",High,Moderate,Moderate,High,Yes,High
31,Haug et al. (2023),High,High,High,High,Yes,High
32,Lockwood (2021),Moderate,Moderate,Moderate,Moderate,Yes,Moderate
33,Schatzki et al. (2021),High,High,High,High,No,High
34,Jerbi et al. (2023),High,High,High,High,Yes,High
35,Shaydulin & Wild (2022),High,High,High,High,Yes,High
36,Quiroga et al. (2021),Moderate,Moderate,Moderate,Moderate,No,Moderate
37,Wright (2022),Moderate,Moderate,Moderate,Moderate,No,Moderate
38,Park et al. (2023),High,High,High,High,Yes,High
39,Di Marcantonio et al. (2023),High,High,High,High,No,High
40,Guan et al. (2022),High,High,High,High,Yes,High
41,Chittoor & Simeone (2023),Moderate,Moderate,Moderate,Moderate,No,Moderate
42,Wu et al. (2022),High,High,High,High,Yes,High
43,Srikumar et al. (2024),High,High,High,High,Yes,High
44,Luo et al. (2023),High,High,High,High,No,High
45,Tsang et al. (2023),Moderate,High,Moderate,Moderate,Yes,Moderate
46,Altmann et al. (2023),High,High,High,High,Yes,High
47,Heese et al. (2023),High,High,High,High,No,High
48,Smaldone et al. (2023),High,High,High,High,Yes,High
49,Akter et al. (2022),Moderate,Moderate,Moderate,Moderate,Yes,Moderate
50,Kundu et al. (2024),High,High,High,High,Yes,High
51,Gil-Fuster et al. (2024),High,Moderate,Moderate,Moderate,No,Moderate
52,Mahmud et al. (2024),High,High,High,High,Yes,High
53,Kiwit et al. (2023),High,High,High,High,Yes,High
54,Weitz et al. (2023),Moderate,Moderate,Moderate,Moderate,Yes,Moderate
55,Wadhwa & Doosti (2023),High,High,High,High,No,High
56,Zhang et al. (2024),High,High,High,High,Yes,High
57,Schmid et al. (2024),Moderate,Moderate,Moderate,Moderate,Yes,Moderate
58,Kreplin et al. (2025),High,High,High,High,Yes,High
59,Berberich et al. (2024),High,High,High,High,Yes,High
60,Altmann et al. (2024),Moderate,Moderate,Moderate,Moderate,No,Moderate
61,Anagolum et al. (2024),High,High,High,High,Yes,High
62,Bowles et al. (2024),Moderate,Low,Moderate,Low,Yes,Low
63,Power & Guha (2024),Low,Low,Moderate,Low,No,Low
64,Brand & Petruccione (2024),Moderate,Moderate,Moderate,Moderate,No,Moderate
65,Arnott et al. (2024),Moderate,Low,Moderate,Low,No,Low
66,Schleich et al. (2024),High,High,High,High,Yes,High
67,Kempkes et al. (2025),Moderate,Low,Moderate,Low,No,Low
68,Chittoor et al. (2024),High,High,High,High,Yes,High
