arXiv_Subject_Class,arXiv_Code,Number_of_Papers
Quantum Physics,quant-ph,37
Computer Science - Machine Learning,cs.LG,32
Statistics - Machine Learning,stat.ML,8
Computer Science - Artificial Intelligence,cs.AI,7
Computer Science - Neural and Evolutionary Computing,cs.NE,3
Physics - Computational Physics,physics.comp-ph,3
Computer Science - Emerging Technologies,cs.ET,3
Mathematics - Optimization and Control,math.OC,2
Computer Science - Data Structures and Algorithms,cs.DS,1
Computer Science - Information Retrieval,cs.IR,1
Computer Science - Programming Languages,cs.PL,1
Condensed Matter - Disordered Systems and Neural Networks,cond-mat.dis-nn,1
High Energy Physics - Phenomenology,hep-ph,1
Computer Science - Information Theory,cs.IT,1
Condensed Matter - Statistical Mechanics,cond-mat.stat-mech,1
Computer Science - Computer Vision and Pattern Recognition,cs.CV,1
"Computer Science - Distributed, Parallel, and Cluster Computing",cs.DC,1
Computer Science - Computational Complexity,,1
Condensed Matter - Quantum Gases,cond-mat.quant-gas,1
Computer Science - Hardware Architecture,cs.AR,1
Mathematics - Quantum Algebra,math.QA,1
Mathematical Physics,math-ph,1
