Source,Target,Strength
1,3,3
7,2,2
8,19,2
8,24,2
10,14,2
11,1,2
11,3,2
15,17,2
18,5,2
19,24,2
20,2,2
21,6,2
23,5,2
28,100,1
28,169,1
28,270,1
28,303,1
28,325,1
7,29,1
7,30,1
7,32,1
7,34,1
7,40,1
7,42,1
7,43,1
7,47,1
7,52,1
7,55,1
7,57,1
7,59,1
7,66,1
7,75,1
7,84,1
7,90,1
7,104,1
7,107,1
7,111,1
7,118,1
7,121,1
7,16,1
7,131,1
7,133,1
7,134,1
7,135,1
7,136,1
7,138,1
7,143,1
7,144,1
7,147,1
7,156,1
7,157,1
7,165,1
7,168,1
7,182,1
7,187,1
7,20,1
7,190,1
7,192,1
7,199,1
7,200,1
7,202,1
7,203,1
7,205,1
7,217,1
7,226,1
7,234,1
7,246,1
7,252,1
7,254,1
7,256,1
7,258,1
7,263,1
7,268,1
7,272,1
7,273,1
7,280,1
7,25,1
7,289,1
7,290,1
7,297,1
7,300,1
7,26,1
7,27,1
7,304,1
7,321,1
29,30,1
29,32,1
29,34,1
29,40,1
29,42,1
29,43,1
29,47,1
29,52,1
29,55,1
29,59,1
29,66,1
29,75,1
29,84,1
29,90,1
29,104,1
29,107,1
29,111,1
29,118,1
29,121,1
29,16,1
29,131,1
29,133,1
29,134,1
29,135,1
29,136,1
29,138,1
29,143,1
29,144,1
29,147,1
29,156,1
29,157,1
29,165,1
29,168,1
29,182,1
29,187,1
29,20,1
29,190,1
29,192,1
29,199,1
29,200,1
29,202,1
29,203,1
29,205,1
29,217,1
29,226,1
29,234,1
29,246,1
29,2,1
29,252,1
29,254,1
29,256,1
29,258,1
29,263,1
29,268,1
29,272,1
29,273,1
29,280,1
29,25,1
29,289,1
29,290,1
29,297,1
29,300,1
29,26,1
29,27,1
29,304,1
29,321,1
30,32,1
30,34,1
30,40,1
30,42,1
30,43,1
30,47,1
30,52,1
30,55,1
30,59,1
30,66,1
30,75,1
30,84,1
30,90,1
30,104,1
30,107,1
30,111,1
30,118,1
30,121,1
30,16,1
30,131,1
30,133,1
30,134,1
30,135,1
30,136,1
30,138,1
30,143,1
30,144,1
30,147,1
30,156,1
30,157,1
30,165,1
30,168,1
30,182,1
30,187,1
30,20,1
30,190,1
30,192,1
30,199,1
30,200,1
30,202,1
30,203,1
30,205,1
30,217,1
30,226,1
30,234,1
30,246,1
30,2,1
30,252,1
30,254,1
30,256,1
30,258,1
30,263,1
30,268,1
30,272,1
30,273,1
30,280,1
30,25,1
30,289,1
30,290,1
30,297,1
30,300,1
30,26,1
30,27,1
30,304,1
30,321,1
31,36,1
31,76,1
31,94,1
31,181,1
31,229,1
31,240,1
31,249,1
31,306,1
32,34,1
32,40,1
32,42,1
32,43,1
32,47,1
32,52,1
32,55,1
32,59,1
32,66,1
32,75,1
32,84,1
32,90,1
32,104,1
32,107,1
32,111,1
32,118,1
