Author,Number_of_Papers
"Dunjko, Vedran",5
"Schuld, Maria",4
"Jerbi, Sofiene",3
"Lockwood, Owen",3
"Wang, Xin",3
"Zlokapa, Alexander",3
"Ahmed, Shahnawaz",2
"Altmann, Philipp",2
"Aspuru-Guzik, Alán",2
"Bravo-Prieto, Carlos",2
"Briegel, Hans J.",2
"Chittoor, Hari Hara Suthan",2
"Da Silva, Adenilton J.",2
"Gil-Fuster, Elies",2
"Haug, Tobias",2
"Ijaz, Aroosa",2
"Kim, M S",2
"Li, Guangxi",2
"Linnhoff-Popien, Claudia",2
"Meyer, Johannes Jakob",2
"Neven, Hartmut",2
"Petruccione, Francesco",2
"Song, Zhixin",2
"Stein, Jonas",2
"Vargas-Hernández, Rodrigo A.",2
"Wiersema, Roeland",2
"Willmann, Moritz",2
"Abbas, Amira",1
"Ajith, Vishnu",1
"AkashNarayanan, B.",1
"Akter, Mst Shapna",1
"Alam, M. Sohaib",1
"Alavisamani, Narges",1
"Alonso-Linaje, Guillermo",1
"Anagolum, Sashwat",1
"Anjum, Nafisa",1
"Araujo, Israel F.",1
"Arnott, Max",1
"Arrasmith, Andrew",1
"Arrazola, Juan Miguel",1
"Arunachalam, Srinivasan",1
"Asadi, Ali",1
"Azad, Utkarsh",1
"Babbush, Ryan",1
"Bacon, Dave",1
"Baldé, Bambordé",1
"Banning, Sam",1
"Batista, Victor S.",1
"Bausch, Johannes",1
"Bedełek, Przemysław",1
"Berberich, Julian",1
"Bergholm, Ville",1
"Bergmann, Fabian",1
"Bertels, Koen",1
"Blank, Carsten",1
"Boixo, Sergio",1
"Bowles, Joseph",1
"Brand, Dean",1
"Bromley, Thomas R.",1
"Broughton, Michael",1
"Buchholz, Simon",1
"Bärligea, Adelina",1
"Cao, Shuxiang",1
"Cao, Yudong",1
"Cerezo, M",1
"Ceroni, Jack",1
"Chakrabarti, Shouvanik",1
"Chehimi, Mahdi",1
"Chen, Hongxiang",1
"Chen, Pin-Yu",1
"Chen, Samuel Yen-Chi",1
"Chen, Xiaohui",1
"Coles, Patrick J",1
"Combes, Joshua",1
"Cordier, Benjamin A.",1
"Cuzzocrea, Alfredo",1
"Danaci, Onur",1
"Dangovski, Rumen",1
"Das, Poulami",1
"Date, Prasanna",1
"De Albuquerque, Lucas P.",1
"De Oliveira, Nicolas M.",1
"De Oliveira, Wilson R.",1
"Delgado, Alain",1
"Deng, Mingtang",1
"Di Marcantonio, Francesco",1
"Dollen, David Von",1
"Doosti, Mina",1
"Du, Yuxuan",1
"Dusko, Amintor",1
"Eisert, Jens",1
"Erfani, Sarah M.",1
"Fang, Wang",1
"Faruk, Md Jobair Hossain",1
"Fattah, Shaikh Anowarul",1
"Feizi, Soheil",1
"Feld, Sebastian",1
"Ferrie, Chris",1
"Fiderer, Lukas J.",1
"Figalli, Alessio",1
"Fink, Daniel",1
"Fu, Xiang",1
"Gabor, Thomas",1
"Garg, Tanya",1
"Gerlach, Thore",1
"Goan, Hsi-Sheng",1
"Gogolin, Christian",1
"Griffin, Paul Robert",1
"Grossi, Michele",1
"Gu, Mile",1
"Guala, Diego",1
"Guan, Ji",1
"Guerreschi, Gian Giacomo",1
"Guha, Krishnendu",1
"Guo, Chu",1
"Hagelüken, Manuel",1
"Halavati, Ramin",1
"Hayes, Anthony",1
"Heese, Raoul",1
"Hill, Charles D.",1
"Hill, Ryan",1
"Ho, Alan K.",1
"Hollenberg, Lloyd C. L.",1
"Holm, Christian",1
"Huang, Anqi",1
"Huang, He-Liang",1
"Huang, Hsin-Yuan",1
"Huang, Yiming",1
"Hubregtsen, Thomas",1
"Incudini, Massimiliano",1
"Isacsson, Theodor",1
"Isakov, Sergei V.",1
"Ittah, David",1
"Izaac, Josh",1
"Jahangiri, Soran",1
"Jain, Prateek",1
"Jakobs, Matthias",1
"Jiang, Edward",1
"Job, Joshua",1
"Kempkes, Marie",1
"Kerenidis, Iordanis",1
"Kessler, Eric",1
"Khandelwal, Ankit",1
"Killoran, Nathan",1
"Kiwit, Florian J.",1
"Klepsch, Johannes",1
"Kottmann, Korbinian",1
"Kreplin, David A.",1
"Kristensen, Lasse B.",1
"Kundu, Akash",1
"Kyro, Gregory W.",1
"Kölle, Michael",1
"Kübler, Jonas M",1
"Kübler, Jonas M.",1
"Landman, Jonas",1
"Lang, Robert A.",1
"Lee, Christina",1
"Leib, Martin",1
"Li, Qun",1
"Li, Tongyang",1
"Lidar, Daniel",1
"Liu, Yong",1
"Liu, Yunchao",1
"Lloyd, Seth",1
"Loke, Thomas",1
"Lolur, Phalgun",1
"Lortaraprasert, Chayaphol",1
"Lowe, Angus",1
"Lucchi, Aurelien",1
"Luckow, Andre",1
"Ludermir, Teresa B.",1
"Luo, Di",1
"Luongo, Alessandro",1
"Ma, Xiaoli",1
"Mahmud, Jishnu",1
"Marso, Marwa",1
"Martinez, Antonio J.",1
"Martyniuk, Darya",1
"Mashtura, Raisa",1
"Massey, Philip",1
"Masum, Mohammad",1
"Matteo, Olivia Di",1
"Mattern, Denny",1
"McClean, Jarrod R.",1
"McCourt, Trevor",1
"McDowall, Kieran",1
"McKiernan, Keri",1
"Miszczak, Jarosław A.",1
"Mohseni, Masoud",1
"Montañez-Barrera, J. A.",1
"Mott, Alex",1
"Moyard, Romain",1
"Mücke, Sascha",1
"Müller, Sabine",1
"Müller, Tobias",1
"Nautrup, Hendrik Poulsen",1
"Neufeld, Ariel",1
"Niu, Murphy Yuezhen",1
"Niu, Zeyue",1
"O'Riordan, Lee James",1
"Ostaszewski, Mateusz",1
"Oud, Steven",1
"Panigrahi, Ashish",1
"Papaioannou, Dimitri",1
"Park, Chae-Yeun",1
"Park, Daniel K",1
"Park, Daniel K.",1
"Park, Siheon",1
"Paschke, Adrian",1
"Pastorello, Davide",1
"Patel, Yash J.",1
"Peters, Evan",1
"Phan, Thomy",1
"Piatkowski, Nico",1
"Pichlmeier, Josef",1
"Pira, Lirandë",1
"Polatajko, Daniel",1
"Pooser, Raphael",1
"Poulsen Nautrup, Hendrik",1
"Power, Luke",1
"Prakash, Anupam",1
"Pranjić, Daniel",1
"Qi, Jun",1
"Qian, Yang",1
"Qiang, Xiaogang",1
"Quesada, Nicolás",1
"Quiroga, David",1
"Qureshi, Moinuddin",1
"Rahman, Akond",1
"Rapp, Frederic",1
"Raymond, Rudy",1
"Rhee, June-Koo Kevin",1
"Riofrío, Carlos A.",1
"Roberts, Chase",1
"Roch, Christoph",1
"Roget, Mathieu",1
"Ross, Philipp",1
"Roth, Marco",1
"Saad, Walid",1
"Sakib, Nazmus",1
"Saquib, Mohammad",1
"Schatzki, Louis",1
"Schleich, Philipp",1
"Schmid, Ludwig",1
"Schnabel, Jan",1
"Schoch, Isidor",1
"Schölkopf, Bernhard",1
"Self, Chris N",1
"Shahriar, Hossain",1
"Shaydulin, Ruslan",1
"Shen, Jiayu",1
"Shi, Borun",1
"Shi, Yunong",1
"Shu, Shuli",1
"Si, Mei",1
"Sim, Sukin",1
"Simeone, Osvaldo",1
"Singh, Arshpreet",1
"Skolik, Andrea",1
"Skreta, Marta",1
"Smaldone, Anthony M.",1
"Soljačić, Marin",1
"Soni, Jay",1
"Spiegelberg, Jakob",1
"Spiropulu, Maria",1
"Srikumar, Maiyuren",1
"Stecher, Patrick",1
"Strandberg, Ingrid",1
"Streif, Michael",1
"Sutter, David",1
"Sweke, Ryan",1
"Száva, Antal",1
"Sá, Nahum",1
"Sünkel, Leo",1
"Tang, Ewin",1
"Tao, Dacheng",1
"Tao, Zeyi",1
"Temme, Kristan",1
"Tezza, Davide",1
"Thabet, Slimane",1
"Thompson, Jayne",1
"Thumwanit, Napat",1
"Trenkwalder, Lea M.",1
"Tsang, Shu Lok",1
"Tutschku, Christian",1
"Université, Aix-Marseille",1
"Usman, Muhammad",1
"Verdon, Guillaume",1
"Vincent, Trevor",1
"Vitucci, Nicola",1
"Vlimant, Jean-Roch",1
"Wadhwa, Chirag",1
"Wang, Dongyang",1
"Wang, Xinbiao",1
"Wang, Youle",1
"Wang, Zihe",1
"Weber, Maurice",1
"Weitz, Gal",1
"West, Maxwell T.",1
"Wierichs, David",1
"Wild, Stefan M",1
"Willems, Henri",1
"Woerner, Stefan",1
"Wong, Vincent",1
"Wright, Matt",1
"Wu, Fan",1
"Wu, Jindi",1
"Wu, Junjie",1
"Wu, Xiaodi",1
"Wu, Xingyao",1
"Xu, Peng",1
"Xu, Ping",1
"Xue, Shichuan",1
"Yang, Chao-Han Huck",1
"Yang, Xuejun",1
"Yano, Hiroshi",1
"Ying, Mingsheng",1
"Yoo, Jae Hyeon",1
"Zardini, Enrico",1
"Zhang, Bingzhi",1
"Zhang, Shaoming",1
"Zhao, Benchi",1
"Zhao, Xuanqiang",1
"Zhuang, Quntao",1
"Zoufal, Christa",1
"van Nieuwenburg, Evert",1
