Institution,Number_of_Papers
Freie Universität Berlin,5
Leiden University,5
Technical University of Munich,5
IBM,4
Vector Institute,4
Xanadu,4
BMW Group,3
Baidu Research,3
CNRS,3
LMU Munich,3
Rensselaer Polytechnic Institute,3
University of Illinois at Urbana-Champaign,3
University of Innsbruck,3
University of Southern California,3
University of Technology Sydney,3
University of Waterloo,3
California Institute of Technology,2
Chalmers University of Technology,2
Delft University of Technology,2
ETH Zurich,2
Fraunhofer Heinrich Hertz Institute,2
Georgia Institute of Technology,2
Google,2
Harvard University,2
Imperial College London,2
Massachusetts Institute of Technology,2
Max Planck Institute for Intelligent Systems,2
NASA Ames Research Center,2
National University of Singapore,2
USRA,2
Universidade Federal de Pernambuco,2
University of KwaZulu-Natal,2
University of Melbourne,2
University of Texas at Austin,2
University of Toronto,2
University of Trento,2
Volkswagen Group,2
AWS Quantum Technologies,1
Agency for Science and Technology Research (A*STAR),1
Aix-Marseille Université,1
Argonne National Laboratory,1
Atos Bull,1
Auburn University,1
Bangladesh University of Engineering & Technology,1
CERN,1
CSIRO (Data61),1
Canadian Institute for Advanced Research,1
Centro Brasileiro de Pesquisas Físicas,1
Cervest,1
DUG Technology,1
Data Reply,1
DeepMind Technologies,1
Factal Analytics,1
Fermi National Accelerator Laboratory,1
Forschungszentrum Jülich,1
Fraunhofer FOKUS,1
Fraunhofer IAIS,1
Fraunhofer IAO,1
Fraunhofer ITWM,1
Fraunhofer Institute for Manufacturing Engineering and Automation IPA,1
Helmholtz-Zentrum Berlin,1
Henan Key Laboratory of Quantum Information and Cryptography,1
Horizon Quantum,1
ICFO,1
ITC Infotech,1
"Indian Institute of Information Technology, Kottayam",1
Indian Institute of Science,1
Indian Institute of Technology Roorkee,1
"Institute of Software, Chinese Academy of Sciences",1
Intel Corporation,1
JD Explore Academy,1
JPMorgan Chase,1
KAIST,1
Keio University,1
Kennesaw State University,1
King's College London,1
LIP6,1
Lockheed Martin Advanced Technology Center,1
Los Alamos National Laboratory,1
McMaster University,1
Nanyang Technological University,1
National Innovation Institute of Defense Technology,1
National Institute for Theoretical Physics,1
National Institute for Theoretical and Computational Sciences,1
National Institute of Science Education and Research,1
National Quantum Computing Centre / Rutherford Appleton Laboratory,1
National Taiwan University,1
National University of Defense Technology,1
Neo4j UK Ltd.,1
Oak Ridge National Laboratory,1
Oregon Health & Science University,1
Pasqal,1
Pennsylvania State University,1
Polish Academy of Sciences,1
Queen's University,1
Qunova Computing,1
Rahko Ltd.,1
Rigetti Computing,1
SAP SE,1
San Jose State University,1
Silesian University of Technology,1
Singapore Management University,1
Sorbonne Université,1
Stellenbosch University,1
Sungkyunkwan University,1
Supremacy Future Technologies,1
TIFPA-INFN,1
TRIUMF,1
TU Dortmund,1
Tecacet Inc.,1
Tsinghua University,1
Tuskegee University,1
Universidad de Antioquia,1
Universidade Federal Rural de Pernambuco,1
University College Cork,1
University College London,1
University Erlangen-Nürnberg,1
University of Amsterdam,1
University of Bologna,1
University of British Columbia,1
University of Calabria,1
"University of California, Berkeley",1
University of Cambridge,1
University of Chinese Academy of Sciences,1
University of Cologne,1
University of Colorado Boulder,1
University of Copenhagen,1
University of Edinburgh,1
University of Electronic Science and Technology of China,1
University of Konstanz,1
University of Maryland,1
University of Oxford,1
University of Science and Technology of China,1
University of Stuttgart,1
University of Sydney,1
University of Texas at Dallas,1
University of Tokyo,1
University of Verona,1
Université Paris Diderot,1
Virginia Tech,1
Warsaw University of Technology,1
William & Mary,1
Wuhan University,1
Yale University,1
Yonsei University,1
Zaiku Group Ltd.,1
Zapata Computing,1
data cybernetics,1
qBraid,1
École Polytechnique,1
