Paper_ID,Institution_Count,Institutions_Counting_Basis
1,3,Harvard University; Intel Corporation; Canadian Institute for Advanced Research
2,1,University of Texas at Austin
3,36,"Xanadu; Chalmers University of Technology; Indian Institute of Information Technology, Kottayam; NASA Ames Research Center; USRA; data cybernetics; Oregon Health & Science University; University of British Columbia; Indian Institute of Technology Roorkee; qBraid; Factal Analytics; Indian Institute of Science; ICFO; University of Toronto; DUG Technology; Rigetti Computing; Freie Universität Berlin; Forschungszentrum Jülich; University of Amsterdam; National Institute of Science Education and Research; Cervest; Centro Brasileiro de Pesquisas Físicas; ETH Zurich; Neo4j UK Ltd.; Zapata Computing; ITC Infotech; Pasqal; LIP6; CNRS; Sorbonne Université; Vector Institute; University of Cologne; University of Waterloo; TRIUMF; Technical University of Munich; BMW Group"
4,5,CNRS; Université Paris Diderot; National University of Singapore; École Polytechnique; Atos Bull
5,3,National Taiwan University; Georgia Institute of Technology; IBM
6,4,California Institute of Technology; DeepMind Technologies; Lockheed Martin Advanced Technology Center; University of Southern California
7,3,University of Innsbruck; University of Konstanz; Leiden University
8,2,University of Maryland; University of Electronic Science and Technology of China
9,5,National University of Defense Technology; National Innovation Institute of Defense Technology; Henan Key Laboratory of Quantum Information and Cryptography; University of Science and Technology of China; Supremacy Future Technologies
10,15,Google; University of Waterloo; California Institute of Technology; Fermi National Accelerator Laboratory; Rensselaer Polytechnic Institute; Volkswagen Group; Leiden University; NASA Ames Research Center; USRA; University of Innsbruck; University Erlangen-Nürnberg; Rahko Ltd.; University College London; University of Oxford; Vector Institute
11,4,BMW Group; Freie Universität Berlin; Delft University of Technology; Technical University of Munich
12,2,Baidu Research; University of Technology Sydney
13,1,University of Cambridge
14,2,Universidade Federal de Pernambuco; Universidade Federal Rural de Pernambuco
15,4,Universidade Federal de Pernambuco; Sungkyunkwan University; University of KwaZulu-Natal; National Institute for Theoretical Physics
16,1,Rensselaer Polytechnic Institute
17,2,Xanadu; Freie Universität Berlin
18,2,"University of California, Berkeley; IBM"
19,3,IBM; University of KwaZulu-Natal; ETH Zurich
20,2,Baidu Research; University of Technology Sydney
21,1,Xanadu
22,1,Baidu Research
23,1,Imperial College London
24,1,Virginia Tech
25,2,Aix-Marseille Université; CNRS
26,1,Max Planck Institute for Intelligent Systems
27,3,University of Sydney; JD Explore Academy; Wuhan University
28,1,Fraunhofer FOKUS
29,3,University of Tokyo; Keio University; IBM
30,2,Massachusetts Institute of Technology; Google
31,1,Imperial College London
32,1,Rensselaer Polytechnic Institute
33,2,Los Alamos National Laboratory; University of Illinois at Urbana-Champaign
34,3,University of Innsbruck; Max Planck Institute for Intelligent Systems; Leiden University
35,2,JPMorgan Chase; Argonne National Laboratory
36,2,Universidad de Antioquia; Oak Ridge National Laboratory
37,1,Queen's University
38,3,KAIST; Yonsei University; Qunova Computing
39,4,CERN; University of Verona; University of Trento; Data Reply
40,3,"Institute of Software, Chinese Academy of Sciences; University of Chinese Academy of Sciences; Tsinghua University"
41,1,King's College London
42,1,William & Mary
43,1,University of Melbourne
44,3,Massachusetts Institute of Technology; Harvard University; University of Illinois at Urbana-Champaign
45,2,University of Melbourne; CSIRO (Data61)
46,2,LMU Munich; SAP SE
47,3,Fraunhofer ITWM; Fraunhofer IAIS; TU Dortmund
48,1,Yale University
49,5,Kennesaw State University; San Jose State University; Auburn University; Tuskegee University; University of Calabria
50,4,Polish Academy of Sciences; Silesian University of Technology; Warsaw University of Technology; Leiden University
51,3,Freie Universität Berlin; Fraunhofer Heinrich Hertz Institute; Helmholtz-Zentrum Berlin
52,2,Bangladesh University of Engineering & Technology; University of Texas at Dallas
53,3,BMW Group; Technical University of Munich; LMU Munich
54,2,University of Colorado Boulder; University of Technology Sydney
55,1,University of Edinburgh
56,2,University of Southern California; University of Illinois at Urbana-Champaign
57,4,Technical University of Munich; University of Trento; University of Bologna; TIFPA-INFN
58,1,Fraunhofer Institute for Manufacturing Engineering and Automation IPA
59,2,University of Stuttgart; Fraunhofer IAO
60,4,LMU Munich; Technical University of Munich; University of Southern California; Delft University of Technology
61,4,Pennsylvania State University; Georgia Institute of Technology; University of Texas at Austin; AWS Quantum Technologies
62,2,Xanadu; Chalmers University of Technology
63,1,University College Cork
64,2,Stellenbosch University; National Institute for Theoretical and Computational Sciences
65,3,Zaiku Group Ltd.; Tecacet Inc.; National Quantum Computing Centre / Rutherford Appleton Laboratory
66,4,University of Toronto; Vector Institute; University of Copenhagen; McMaster University
67,6,Leiden University; Volkswagen Group; University of Waterloo; Vector Institute; Freie Universität Berlin; Fraunhofer Heinrich Hertz Institute
68,5,Singapore Management University; Nanyang Technological University; Agency for Science and Technology Research (A*STAR); Horizon Quantum; National University of Singapore
