id	label	weight
1	Quantum Physics	37
2	Computer Science - Machine Learning	32
3	Statistics - Machine Learning	8
4	Computer Science - Artificial Intelligence	7
5	Computer Science - Emerging Technologies	3
6	Computer Science - Neural and Evolutionary Computing	3
7	Physics - Computational Physics	3
8	Mathematics - Optimization and Control	2
9	Computer Science - Computational Complexity	1
10	Computer Science - Computer Vision and Pattern Recognition	1
11	Computer Science - Data Structures and Algorithms	1
12	Computer Science - Distributed, Parallel, and Cluster Computing	1
13	Computer Science - Hardware Architecture	1
14	Computer Science - Information Retrieval	1
15	Computer Science - Information Theory	1
16	Computer Science - Programming Languages	1
17	Condensed Matter - Disordered Systems and Neural Networks	1
18	Condensed Matter - Quantum Gases	1
19	Condensed Matter - Statistical Mechanics	1
20	High Energy Physics - Phenomenology	1
21	Mathematical Physics	1
22	Mathematics - Quantum Algebra	1
