ID,Label,Occurrences
1,"Dunjko, Vedran",5
2,"Schuld, Maria",4
3,"Jerbi, Sofiene",3
4,"Lockwood, Owen",3
5,"Wang, Xin",3
6,"Zlokapa, Alexander",3
7,"Ahmed, Shahnawaz",2
8,"Altmann, Philipp",2
9,"Aspuru-Guzik, Alán",2
10,"Bravo-Prieto, Carlos",2
11,"Briegel, Hans J.",2
12,"Chittoor, Hari Hara Suthan",2
13,"Da Silva, Adenilton J.",2
14,"Gil-Fuster, Elies",2
15,"Haug, Tobias",2
16,"Ijaz, Aroosa",2
17,"Kim, M S",2
18,"Li, Guangxi",2
19,"Linnhoff-Popien, Claudia",2
20,"Meyer, Johannes Jakob",2
21,"Neven, Hartmut",2
22,"Petruccione, Francesco",2
23,"Song, Zhixin",2
24,"Stein, Jonas",2
25,"Vargas-Hernández, Rodrigo A.",2
26,"Wiersema, Roeland",2
27,"Willmann, Moritz",2
28,"Abbas, Amira",1
29,"Ajith, Vishnu",1
30,"AkashNarayanan, B.",1
31,"Akter, Mst Shapna",1
32,"Alam, M. Sohaib",1
33,"Alavisamani, Narges",1
34,"Alonso-Linaje, Guillermo",1
35,"Anagolum, Sashwat",1
36,"Anjum, Nafisa",1
37,"Araujo, Israel F.",1
38,"Arnott, Max",1
39,"Arrasmith, Andrew",1
40,"Arrazola, Juan Miguel",1
41,"Arunachalam, Srinivasan",1
42,"Asadi, Ali",1
43,"Azad, Utkarsh",1
44,"Babbush, Ryan",1
45,"Bacon, Dave",1
46,"Baldé, Bambordé",1
47,"Banning, Sam",1
48,"Batista, Victor S.",1
49,"Bausch, Johannes",1
50,"Bedełek, Przemysław",1
51,"Berberich, Julian",1
52,"Bergholm, Ville",1
53,"Bergmann, Fabian",1
54,"Bertels, Koen",1
55,"Blank, Carsten",1
56,"Boixo, Sergio",1
57,"Bowles, Joseph",1
58,"Brand, Dean",1
59,"Bromley, Thomas R.",1
60,"Broughton, Michael",1
61,"Buchholz, Simon",1
62,"Bärligea, Adelina",1
63,"Cao, Shuxiang",1
64,"Cao, Yudong",1
65,"Cerezo, M",1
66,"Ceroni, Jack",1
67,"Chakrabarti, Shouvanik",1
68,"Chehimi, Mahdi",1
69,"Chen, Hongxiang",1
70,"Chen, Pin-Yu",1
71,"Chen, Samuel Yen-Chi",1
72,"Chen, Xiaohui",1
73,"Coles, Patrick J",1
74,"Combes, Joshua",1
75,"Cordier, Benjamin A.",1
76,"Cuzzocrea, Alfredo",1
77,"Danaci, Onur",1
78,"Dangovski, Rumen",1
79,"Das, Poulami",1
80,"Date, Prasanna",1
81,"De Albuquerque, Lucas P.",1
82,"De Oliveira, Nicolas M.",1
83,"De Oliveira, Wilson R.",1
84,"Delgado, Alain",1
85,"Deng, Mingtang",1
86,"Di Marcantonio, Francesco",1
87,"Dollen, David Von",1
88,"Doosti, Mina",1
89,"Du, Yuxuan",1
90,"Dusko, Amintor",1
91,"Eisert, Jens",1
92,"Erfani, Sarah M.",1
93,"Fang, Wang",1
94,"Faruk, Md Jobair Hossain",1
95,"Fattah, Shaikh Anowarul",1
96,"Feizi, Soheil",1
97,"Feld, Sebastian",1
98,"Ferrie, Chris",1
99,"Fiderer, Lukas J.",1
100,"Figalli, Alessio",1
101,"Fink, Daniel",1
102,"Fu, Xiang",1
103,"Gabor, Thomas",1
104,"Garg, Tanya",1
105,"Gerlach, Thore",1
106,"Goan, Hsi-Sheng",1
107,"Gogolin, Christian",1
108,"Griffin, Paul Robert",1
109,"Grossi, Michele",1
110,"Gu, Mile",1
111,"Guala, Diego",1
112,"Guan, Ji",1
113,"Guerreschi, Gian Giacomo",1
114,"Guha, Krishnendu",1
115,"Guo, Chu",1
116,"Hagelüken, Manuel",1
117,"Halavati, Ramin",1
118,"Hayes, Anthony",1
119,"Heese, Raoul",1
120,"Hill, Charles D.",1
121,"Hill, Ryan",1
122,"Ho, Alan K.",1
123,"Hollenberg, Lloyd C. L.",1
124,"Holm, Christian",1
125,"Huang, Anqi",1
126,"Huang, He-Liang",1
127,"Huang, Hsin-Yuan",1
128,"Huang, Yiming",1
129,"Hubregtsen, Thomas",1
130,"Incudini, Massimiliano",1
131,"Isacsson, Theodor",1
132,"Isakov, Sergei V.",1
133,"Ittah, David",1
134,"Izaac, Josh",1
135,"Jahangiri, Soran",1
136,"Jain, Prateek",1
137,"Jakobs, Matthias",1
138,"Jiang, Edward",1
139,"Job, Joshua",1
140,"Kempkes, Marie",1
